date,title,summary
2026-03-23,Iran Responds to Trump’s Energy Threat With Defiance and Warnings of Its Own,"Tehran “will not hesitate in defending its people and its land,” a senior official said, after President Trump threatened to destroy Iranian power plants."
2026-03-22,Israel Orders Military to Intensify Demolitions in Southern Lebanon,"Israel Katz, the defense minister, said he ordered troops to destroy more bridges and buildings in southern Lebanon, stoking worries that Israel was widening a military-controlled buffer zone there."
2026-03-22,Residents in Southern Israel Are Shaken After Direct Strikes by Iranian Missiles,"Attacks on Saturday injured dozens in Arad and Dimona, two cities closest to Israel’s main nuclear research facility."
2026-03-22,Terror Attacks Haunted This Brussels Community. Now It’s Trying to Move On.,"Molenbeek was branded a hotbed of radicalization after terrorists hit Brussels and Paris a decade ago, but new challenges show that reinvention doesn’t come easy."
2026-03-23,Here’s What Happened in the War in the Middle East on Saturday,"An Iranian missile wounded dozens in Dimona, a city near Israel’s main nuclear research facility, as Tehran showed no signs of backing down."
2026-03-22,Iranian missile strikes Israeli city near main nuclear research facility.,
2026-03-21,"With Fire and Song, Kurds in Turkey Hail the Start of Spring","The Newroz holiday comes at a critical time, as Kurds in Turkey push for peace while their brethren in Syria and Iran fear further conflict."
2026-03-21,How the Litani River Shapes the Israel-Hezbollah War,"The 90-mile waterway, back in focus amid Israel’s renewed offensive in Lebanon, could define how far the fighting spreads."
2026-03-21,Israel Strikes Across Lebanon Amid Fierce Ground Fighting in the South,The Israeli military said it was stepping up attacks aimed at infrastructure in Beirut belonging to Hezbollah.
2026-03-24,"Trump Delays Threat to Iran, but War Negotiations Are in Early Stage","President Trump postponed his threat to strike power plants in Iran, citing “productive conversations” with the Iranians. But officials said the talks were in an early stage and not substantive."
2026-03-24,Trump Sours on British Leader Over Iran War: ‘What If Donald Shouts at Me?’,President Trump once called Prime Minister Keir Starmer a friend. But Mr. Starmer’s decision not to join the attacks on Iran has led to merciless mocking by the president.
2026-03-23,Pentagon Officials Weigh Deployment of Airborne Troops for Iran War,"The combat forces would come from a brigade of about 3,000 soldiers capable of deploying anywhere in the world within 18 hours."
2026-03-24,Mullin’s Smooth Confirmation Was a Throwback in the Senate,"In choosing Senator Markwayne Mullin, who has warm relationships across the Capitol and the political aisle, President Trump was reverting to a bygone tradition."
2026-03-24,Pakistan Dials Up Its Information War,"New, friendly media operations and expanded state-run television are pushing Pakistan’s message while independent news outlets face repression."
2026-03-24,Colombian Military Plane Crash Kills 66 and Injures Dozens,"A military aircraft transporting 128 people was involved in an accident as it took off from southern Colombia, according to the authorities."
2026-03-24,"Valerie Perrine, Screen Siren Who Won Critical Acclaim, Dies at 82","Known early on for skin-baring temptress roles, she later earned rave reviews, a Cannes award and an Oscar nomination for her performance in the Lenny Bruce biopic “Lenny.”"
